time,numworkers,streamsize
1773,16,5000
6942,16,5000
12128,16,5000
17210,16,5000
22285,16,5000
27371,16,5000
32470,16,5000
37576,16,5000
42637,16,5000
47699,16,5000
52759,16,5000
57875,16,5000
62999,16,5000
68061,16,5000
73121,16,5000
78181,16,5000
83276,16,5000
88339,16,5000
93399,16,5000
98459,16,5000
103564,16,5000
108671,16,5000
113732,16,5000
118793,16,5000
123852,16,5000
128954,16,5000
134058,16,5000
139123,16,5000
144184,16,5000
149287,16,5000
154389,16,5000
159453,16,5000
164514,16,5000
169629,16,5000
174690,16,5000
179750,16,5000
184811,16,5000
189911,16,5000
194957,16,5000
200017,16,5000
205079,16,5000
210183,16,5000
215244,16,5000
220305,16,5000
225365,16,5000
230467,16,5000
235528,16,5000
240590,16,5000
245651,16,5000
250753,16,5000
255813,16,5000
260873,16,5000
265933,16,5000
271000,16,5000
276061,16,5000
281121,16,5000
286181,16,5000
291269,16,5000
296330,16,5000
301391,16,5000
306451,16,5000
311550,16,5000
316613,16,5000
321683,16,5000
326743,16,5000
331841,16,5000
336902,16,5000
341963,16,5000
347022,16,5000
352120,16,5000
357183,16,5000
362245,16,5000
367305,16,5000
372401,16,5000
377463,16,5000
382523,16,5000
387583,16,5000
392688,16,5000
397751,16,5000
402812,16,5000
407872,16,5000
412972,16,5000
418033,16,5000
423093,16,5000
428152,16,5000
433252,16,5000
438314,16,5000
443374,16,5000
448434,16,5000
453534,16,5000
458595,16,5000
463655,16,5000
468714,16,5000
473814,16,5000
478876,16,5000
483937,16,5000
488997,16,5000
494111,16,5000
499171,16,5000
504231,16,5000
509291,16,5000
514388,16,5000
519450,16,5000
524510,16,5000
529570,16,5000
534666,16,5000
539728,16,5000
544789,16,5000
549850,16,5000
554953,16,5000
560014,16,5000
565075,16,5000
570134,16,5000
575225,16,5000
580330,16,5000
585444,16,5000
590556,16,5000
595662,16,5000
600724,16,5000
605785,16,5000
610847,16,5000
615947,16,5000
621008,16,5000
626068,16,5000
631128,16,5000
636229,16,5000
641294,16,5000
646356,16,5000
651416,16,5000
656532,16,5000
661647,16,5000
666747,16,5000
671853,16,5000
676957,16,5000
682018,16,5000
687077,16,5000
692154,16,5000
697257,16,5000
702318,16,5000
707378,16,5000
712438,16,5000
717538,16,5000
722599,16,5000
727658,16,5000
732718,16,5000
737807,16,5000
742910,16,5000
748012,16,5000
753091,16,5000
758196,16,5000
763256,16,5000
768316,16,5000
773376,16,5000
778476,16,5000
783537,16,5000
788597,16,5000
793657,16,5000
