servicetime,time,numworkers,streamsize
2.29,21,4,500
2.21857,23,4,500
2.1769,25,4,500
2.14913,27,4,500
2.12913,29,4,500
2.11398,31,4,500
2.10207,33,4,500
2.09246,35,4,500
2.0988,38,4,500
2.10547,40,4,500
2.11229,42,4,500
2.11915,44,4,500
2.12599,46,4,500
2.11847,48,4,500
2.1118,50,4,500
2.10585,52,4,500
2.1005,54,4,500
2.09567,56,4,500
2.09129,58,4,500
2.08729,60,4,500
2.08362,62,4,500
2.08026,64,4,500
2.08429,67,4,500
2.08832,69,4,500
2.09232,71,4,500
2.09629,73,4,500
2.10022,75,4,500
2.09698,77,4,500
2.09393,79,4,500
2.09108,81,4,500
2.08839,83,4,500
2.08585,85,4,500
2.08346,87,4,500
2.0812,89,4,500
2.07906,91,4,500
2.07702,93,4,500
2.07986,96,4,500
2.08267,98,4,500
2.08547,100,4,500
2.08825,102,4,500
2.091,104,4,500
2.08898,106,4,500
2.08704,108,4,500
2.08518,110,4,500
2.08341,112,4,500
2.0817,114,4,500
2.08006,116,4,500
2.07849,118,4,500
2.07698,120,4,500
2.07553,122,4,500
2.0777,125,4,500
2.07986,127,4,500
2.082,129,4,500
2.08414,131,4,500
2.08626,133,4,500
2.08479,135,4,500
2.08338,137,4,500
2.08201,139,4,500
2.08069,141,4,500
2.07941,143,4,500
2.07816,145,4,500
2.07696,147,4,500
2.07579,149,4,500
2.07466,151,4,500
2.07642,154,4,500
2.07817,156,4,500
2.07991,158,4,500
2.08164,160,4,500
2.08337,162,4,500
2.08222,164,4,500
2.08111,166,4,500
2.08003,168,4,500
2.07897,170,4,500
2.07795,172,4,500
2.07695,174,4,500
2.07597,176,4,500
2.07502,178,4,500
2.0741,180,4,500
2.07557,183,4,500
2.07704,185,4,500
2.07851,187,4,500
2.07997,189,4,500
2.08142,191,4,500
2.08048,193,4,500
2.07957,195,4,500
2.07867,197,4,500
2.0778,199,4,500
2.07694,201,4,500
2.0761,203,4,500
2.07529,205,4,500
2.07448,207,4,500
2.08607,215,4,500
2.10979,223,4,500
2.1454,231,4,500
2.24067,263,4,500
2.3944,295,4,500
2.61276,327,4,500
2.94065,359,4,500
3.42764,391,4,500
4.13397,423,4,500
5.27423,455,4,500
7.48621,487,4,500
12.6395,519,4,500
18.102,551,4,500
23.2857,583,4,500
27.9771,615,4,500
31.52,647,4,500
32,679,4,500
32,711,4,500
31.38,712,4,500
30.2345,712,4,500
28.6512,712,4,500
27.0512,743,4,500
25.0974,744,4,500
23.4459,744,4,500
22.0447,744,4,500
21.0681,775,4,500
19.8806,776,4,500
18.8344,776,4,500
17.9169,776,4,500
17.2636,807,4,500
16.4657,808,4,500
15.7432,808,4,500
15.0956,808,4,500
14.6273,839,4,500
14.0546,840,4,500
13.5256,840,4,500
13.0439,840,4,500
12.6915,871,4,500
12.2606,872,4,500
11.8565,872,4,500
11.4842,872,4,500
11.2092,903,4,500
10.8734,904,4,500
10.5545,904,4,500
10.2581,904,4,500
10.0374,935,4,500
9.76857,936,4,500
9.51054,936,4,500
9.26895,936,4,500
9.08774,967,4,500
8.86774,968,4,500
8.65465,968,4,500
8.45395,968,4,500
8.30244,999,4,500
8.11915,1000,4,500
7.9402,1000,4,500
7.77082,1000,4,500
7.76527,1031,4,500
7.72743,1032,4,500
7.68632,1032,4,500
7.64732,1032,4,500
7.77082,1064,4,500
7.73298,1064,4,500
7.69187,1064,4,500
7.65287,1064,4,500
