servicetime,time
9,25
8.5,33
9,43
8.75,51
8.8,60
8.83333,69
8.85714,78
8.75,86
8.77778,95
8.8,104
8.81818,113
8.75,121
8.92308,132
8.92857,141
8.86667,149
8.9375,159
8.88235,167
8.88889,176
8.89474,185
8.85,193
8.85714,202
8.86364,211
8.82609,219
8.79167,227
8.76,235
8.73077,243
8.7037,251
8.67857,259
8.65517,267
8.63333,275
8.6129,283
8.59375,291
8.57576,299
8.55882,307
8.57143,316
8.54286,324
8.54286,332
8.48571,340
8.48571,348
8.45714,356
8.42857,364
8.4,372
8.4,380
8.37143,388
8.34286,396
8.33333,404
8.30556,412
8.30556,420
8.22222,428
8.19444,436
8.19444,444
8.16667,453
8.16667,461
8.13889,469
8.13889,478
8.16667,487
8.27778,500
8.30556,510
8.25,516
8.30556,526
8.37143,536
8.4,545
8.4,553
8.45714,563
8.51429,573
8.54286,582
8.64706,593
8.76471,605
8.73529,613
8.79412,623
8.82353,632
8.82353,640
8.82353,648
8.87879,657
8.87879,665
8.87879,673
8.87879,681
8.87879,689
8.87879,697
8.87879,705
8.87879,713
8.87879,721
8.87879,729
8.90909,738
8.87879,746
8.87879,754
8.87879,762
9.125,779
8.93939,782
8.93939,795
8.70588,796
8.9697,812
8.87879,819
8.81818,827
8.79412,835
8.76471,843
8.76471,851
8.90909,867
8.90909,876
8.78788,883
8.93939,900
8.70588,901
9.54839,936
9.25,936
9.51613,952
9.21875,952
10.1034,982
9.86667,985
10.2759,1003
9.93333,1003
9.6129,1003
9.34375,1004
10.1379,1032
9.8,1032
9.48387,1032
9.1875,1032
9,1035
8.73529,1035
8.51429,1036
8.45714,1042
8.70588,1058
8.51429,1060
8.34286,1071
8.61765,1088
8.37143,1088
8.22222,1091
8.2,1099
8.33333,1112
8.82353,1135
8.57143,1135
8.33333,1135
8.22222,1139
8.22222,1147
8.05556,1157
8.05405,1165
8,1172
8,1179
7.94595,1194
7.47222,1205
7.43243,1211
7.68421,1228
7.48718,1228
7.68421,1244
7.5641,1247
7.31579,1260
7.20513,1263
7.35,1276
7.2439,1279
7.225,1292
7.12195,1295
7.34211,1311
7.28205,1316
7.375,1327
7.31707,1332
8.38235,1343
8.28571,1348
8.54286,1359
8.48571,1368
8.2,1375
8.22222,1384
8.57143,1391
