servicetime,time,numworkers,streamsize
100,20,4,500
50,25,4,500
33.3333,30,4,500
25,35,4,500
20,40,4,500
16.6667,45,4,500
14.2857,50,4,500
12.5,56,4,500
11.1111,61,4,500
10,66,4,500
9.09091,71,4,500
8.33333,76,4,500
7.69231,81,4,500
7.14286,86,4,500
6.66667,91,4,500
6.25,96,4,500
6.25,101,4,500
5.88235,106,4,500
5.55556,111,4,500
5.26316,116,4,500
5.26316,121,4,500
5.26316,127,4,500
5.26316,132,4,500
5.26316,137,4,500
5.26316,142,4,500
5.26316,147,4,500
5.26316,152,4,500
5.26316,157,4,500
5.26316,162,4,500
5.26316,167,4,500
5.26316,172,4,500
5.26316,177,4,500
5.26316,182,4,500
5.26316,187,4,500
5.26316,192,4,500
5.26316,197,4,500
5.26316,202,4,500
5.26316,208,4,500
5.26316,213,4,500
5.26316,218,4,500
5.26316,223,4,500
5.26316,228,4,500
5.26316,233,4,500
5.26316,238,4,500
5.26316,243,4,500
5.26316,248,4,500
5.26316,253,4,500
5.26316,258,4,500
5.26316,263,4,500
5.26316,268,4,500
5.26316,273,4,500
5.26316,278,4,500
5.26316,283,4,500
5.26316,289,4,500
5.26316,294,4,500
5.26316,299,4,500
5.26316,304,4,500
5.26316,309,4,500
5.26316,314,4,500
5.26316,319,4,500
5.26316,324,4,500
5.26316,329,4,500
5.26316,334,4,500
5.26316,339,4,500
5.26316,344,4,500
5.26316,349,4,500
5.26316,354,4,500
5.26316,359,4,500
5.26316,364,4,500
5.26316,369,4,500
5.26316,375,4,500
5.26316,380,4,500
5.26316,385,4,500
5.26316,390,4,500
5.26316,395,4,500
5.26316,400,4,500
5.26316,405,4,500
5.26316,410,4,500
5.26316,415,4,500
5.26316,420,4,500
5.26316,425,4,500
5.26316,430,4,500
5.26316,435,4,500
5.26316,440,4,500
5.26316,445,4,500
5.26316,450,4,500
5.26316,456,4,500
5.26316,461,4,500
5.26316,466,4,500
5.26316,471,4,500
5.26316,476,4,500
5.26316,481,4,500
5.26316,486,4,500
5.26316,491,4,500
5.26316,496,4,500
5.26316,501,4,500
5.26316,506,4,500
5.26316,511,4,500
5.26316,516,4,500
5.26316,522,4,500
5.26316,527,4,500
5.26316,532,4,500
5.26316,537,4,500
5.26316,542,4,500
5.26316,547,4,500
5.26316,552,4,500
5.26316,557,4,500
5.26316,562,4,500
5.26316,567,4,500
5.26316,572,4,500
5.26316,577,4,500
5.26316,582,4,500
5.26316,587,4,500
5.26316,592,4,500
5.26316,597,4,500
5.26316,603,4,500
5.26316,608,4,500
5.26316,613,4,500
5.26316,618,4,500
5.26316,623,4,500
5.26316,628,4,500
5.26316,633,4,500
5.26316,638,4,500
5.26316,643,4,500
5.26316,648,4,500
5.26316,653,4,500
5.26316,658,4,500
5.26316,663,4,500
5.26316,668,4,500
5.26316,674,4,500
5.26316,679,4,500
5.26316,684,4,500
5.26316,689,4,500
5.26316,694,4,500
5.26316,699,4,500
5.26316,704,4,500
5.26316,709,4,500
5.26316,714,4,500
5.26316,719,4,500
5.26316,724,4,500
5.26316,729,4,500
5.26316,734,4,500
5.26316,739,4,500
5.26316,744,4,500
5.26316,749,4,500
5.26316,755,4,500
5.26316,760,4,500
5.26316,765,4,500
5.26316,770,4,500
5.26316,775,4,500
5.26316,780,4,500
5.26316,785,4,500
5.26316,790,4,500
5.26316,795,4,500
5.26316,800,4,500
5.26316,805,4,500
5.26316,810,4,500
5.26316,815,4,500
5.26316,820,4,500
5.26316,825,4,500
5.26316,831,4,500
5.26316,836,4,500
5.26316,841,4,500
5.26316,846,4,500
5.26316,851,4,500
5,854,4,500
5,856,4,500
4.7619,859,4,500
4.7619,861,4,500
4.54545,864,4,500
4.54545,869,4,500
4.54545,874,4,500
4.54545,879,4,500
4.54545,884,4,500
4.54545,890,4,500
4.54545,895,4,500
4.54545,900,4,500
4.54545,905,4,500
4.54545,910,4,500
4.54545,915,4,500
4.54545,920,4,500
4.54545,925,4,500
4.54545,930,4,500
4.54545,935,4,500
4.54545,940,4,500
4.54545,945,4,500
4.54545,951,4,500
4.7619,956,4,500
5,961,4,500
5.26316,966,4,500
5.26316,971,4,500
5.26316,976,4,500
5.26316,981,4,500
5.26316,986,4,500
5.26316,991,4,500
5.26316,997,4,500
5.26316,1002,4,500
5.26316,1007,4,500
5.26316,1012,4,500
5.26316,1017,4,500
5.26316,1022,4,500
5.26316,1027,4,500
5.26316,1032,4,500
5.26316,1037,4,500
5.26316,1042,4,500
5.26316,1047,4,500
5.26316,1053,4,500
5.26316,1058,4,500
5.26316,1063,4,500
5.26316,1068,4,500
5.26316,1073,4,500
5.26316,1078,4,500
5.26316,1083,4,500
5.26316,1088,4,500
5.26316,1093,4,500
5.26316,1098,4,500
5.26316,1104,4,500
5.26316,1109,4,500
5.26316,1114,4,500
5.26316,1119,4,500
5.26316,1124,4,500
5.26316,1129,4,500
5.26316,1134,4,500
5.26316,1139,4,500
5.26316,1144,4,500
5.26316,1149,4,500
5.26316,1155,4,500
5.26316,1160,4,500
5.26316,1165,4,500
5.26316,1170,4,500
5.26316,1175,4,500
5.26316,1180,4,500
5.26316,1185,4,500
5.26316,1190,4,500
5.26316,1195,4,500
5.26316,1200,4,500
5.26316,1206,4,500
5.26316,1211,4,500
5.26316,1216,4,500
5.26316,1221,4,500
5.26316,1226,4,500
5.26316,1231,4,500
5.26316,1236,4,500
5.26316,1241,4,500
5.26316,1246,4,500
5.26316,1251,4,500
5.26316,1257,4,500
5.26316,1262,4,500
5.26316,1267,4,500
5.26316,1272,4,500
5.26316,1277,4,500
5,1278,4,500
4.7619,1279,4,500
4.54545,1280,4,500
4.54545,1285,4,500
4.34783,1286,4,500
4.34783,1287,4,500
4.16667,1288,4,500
4.16667,1293,4,500
4,1294,4,500
3.84615,1295,4,500
3.7037,1296,4,500
3.7037,1301,4,500
3.7037,1302,4,500
3.57143,1303,4,500
3.44828,1304,4,500
3.44828,1309,4,500
3.33333,1310,4,500
3.22581,1311,4,500
3.22581,1312,4,500
3.22581,1317,4,500
3.125,1318,4,500
3.0303,1319,4,500
2.94118,1320,4,500
2.94118,1325,4,500
2.85714,1326,4,500
2.85714,1327,4,500
2.77778,1328,4,500
2.77778,1333,4,500
2.7027,1334,4,500
2.63158,1335,4,500
2.5641,1336,4,500
2.5641,1341,4,500
2.5,1342,4,500
2.5,1343,4,500
2.43902,1344,4,500
2.43902,1349,4,500
2.38095,1350,4,500
2.32558,1351,4,500
2.27273,1352,4,500
2.27273,1357,4,500
2.27273,1358,4,500
2.22222,1359,4,500
2.17391,1360,4,500
2.17391,1365,4,500
2.12766,1366,4,500
2.08333,1367,4,500
2.08333,1368,4,500
2.08333,1373,4,500
2.04082,1374,4,500
2,1375,4,500
1.96078,1376,4,500
2.04082,1381,4,500
2.04082,1382,4,500
2,1383,4,500
1.96078,1384,4,500
2.04082,1389,4,500
2.04082,1390,4,500
2,1391,4,500
1.96078,1392,4,500
2.04082,1397,4,500
2.04082,1398,4,500
2,1399,4,500
1.96078,1400,4,500
2.04082,1405,4,500
2.04082,1406,4,500
2,1407,4,500
1.96078,1408,4,500
2.04082,1413,4,500
2.04082,1414,4,500
2,1415,4,500
1.96078,1416,4,500
2.04082,1421,4,500
2.04082,1422,4,500
2,1423,4,500
1.96078,1424,4,500
2.04082,1429,4,500
2.04082,1430,4,500
2,1431,4,500
1.96078,1432,4,500
2.04082,1437,4,500
2.04082,1438,4,500
2,1439,4,500
1.96078,1440,4,500
4.7619,1501,4,500
4.7619,1502,4,500
4.54545,1503,4,500
4.34783,1504,4,500
25,1565,4,500
20,1566,4,500
16.6667,1567,4,500
14.2857,1568,4,500
25,1629,4,500
20,1630,4,500
16.6667,1631,4,500
14.2857,1632,4,500
25,1693,4,500
20,1694,4,500
16.6667,1695,4,500
14.2857,1696,4,500
25,1757,4,500
20,1758,4,500
16.6667,1759,4,500
14.2857,1760,4,500
25,1821,4,500
20,1822,4,500
16.6667,1823,4,500
14.2857,1824,4,500
25,1885,4,500
20,1886,4,500
16.6667,1887,4,500
14.2857,1888,4,500
25,1949,4,500
20,1950,4,500
16.6667,1951,4,500
14.2857,1952,4,500
25,2013,4,500
20,2014,4,500
16.6667,2015,4,500
14.2857,2016,4,500
25,2077,4,500
20,2078,4,500
16.6667,2079,4,500
14.2857,2080,4,500
25,2141,4,500
20,2142,4,500
16.6667,2143,4,500
14.2857,2144,4,500
25,2205,4,500
20,2206,4,500
16.6667,2207,4,500
14.2857,2208,4,500
25,2269,4,500
20,2270,4,500
16.6667,2271,4,500
14.2857,2272,4,500
25,2333,4,500
20,2334,4,500
16.6667,2335,4,500
14.2857,2336,4,500
25,2397,4,500
20,2398,4,500
16.6667,2399,4,500
14.2857,2400,4,500
25,2461,4,500
20,2462,4,500
16.6667,2463,4,500
14.2857,2464,4,500
25,2525,4,500
20,2526,4,500
16.6667,2527,4,500
14.2857,2528,4,500
25,2589,4,500
20,2590,4,500
16.6667,2591,4,500
14.2857,2592,4,500
25,2653,4,500
20,2654,4,500
16.6667,2655,4,500
14.2857,2656,4,500
25,2717,4,500
20,2718,4,500
16.6667,2719,4,500
14.2857,2721,4,500
25,2781,4,500
20,2782,4,500
16.6667,2783,4,500
14.2857,2785,4,500
25,2845,4,500
20,2846,4,500
16.6667,2847,4,500
14.2857,2849,4,500
25,2909,4,500
20,2910,4,500
16.6667,2911,4,500
14.2857,2913,4,500
25,2973,4,500
20,2974,4,500
16.6667,2975,4,500
14.2857,2977,4,500
25,3037,4,500
20,3038,4,500
16.6667,3039,4,500
14.2857,3041,4,500
25,3101,4,500
20,3102,4,500
16.6667,3103,4,500
14.2857,3105,4,500
25,3165,4,500
20,3166,4,500
16.6667,3168,4,500
14.2857,3169,4,500
25,3229,4,500
20,3230,4,500
16.6667,3231,4,500
14.2857,3233,4,500
25,3293,4,500
20,3294,4,500
16.6667,3295,4,500
14.2857,3297,4,500
25,3357,4,500
20,3358,4,500
16.6667,3359,4,500
14.2857,3361,4,500
25,3421,4,500
20,3422,4,500
16.6667,3423,4,500
14.2857,3425,4,500
25,3485,4,500
20,3486,4,500
16.6667,3487,4,500
14.2857,3489,4,500
25,3549,4,500
20,3550,4,500
16.6667,3551,4,500
14.2857,3553,4,500
25,3613,4,500
20,3614,4,500
16.6667,3615,4,500
14.2857,3617,4,500
25,3678,4,500
20,3678,4,500
16.6667,3679,4,500
14.2857,3681,4,500
25,3742,4,500
20,3742,4,500
16.6667,3743,4,500
14.2857,3745,4,500
25,3806,4,500
20,3806,4,500
16.6667,3807,4,500
14.2857,3809,4,500
25,3870,4,500
20,3870,4,500
16.6667,3872,4,500
14.2857,3873,4,500
25,3934,4,500
20,3934,4,500
16.6667,3936,4,500
14.2857,3937,4,500
25,3998,4,500
20,3998,4,500
16.6667,4000,4,500
14.2857,4001,4,500
25,4062,4,500
20,4062,4,500
16.6667,4064,4,500
14.2857,4065,4,500
25,4126,4,500
20,4126,4,500
