throughput,time
0.0790873,82
0.0861442,90
0.0912631,98
0.0951613,106
0.098236,114
0.100727,122
0.102788,130
0.104346,139
0.10566,147
0.10678,155
0.107746,163
0.108585,171
0.109496,179
0.11031,187
0.111043,195
0.111706,203
0.112308,211
0.112858,219
0.113362,227
0.113826,235
0.114254,243
0.114651,251
0.115019,259
0.115362,267
0.115592,276
0.115804,284
0.116,292
0.116181,300
0.116349,308
0.116594,316
0.116707,324
0.118257,332
0.119763,340
0.121227,348
0.122648,356
0.124147,364
0.124156,372
0.124161,380
0.124161,388
0.124161,396
0.124078,405
0.123995,413
0.123912,421
0.123829,429
0.123829,437
0.123912,445
0.123995,453
0.124078,461
0.124161,469
0.124161,477
0.124161,485
0.124078,494
0.123995,502
0.123912,510
0.123829,518
0.123746,526
0.123746,534
0.123746,542
0.123746,550
0.123746,558
0.123663,567
0.123663,575
0.123663,583
0.123663,591
0.123663,599
0.123746,607
0.123746,615
0.123746,623
0.123663,632
0.123404,642
0.123062,651
0.122719,659
0.122377,667
0.122034,676
0.121869,684
0.121787,692
0.121704,701
0.121622,709
0.121622,717
0.121622,725
0.121622,733
0.12154,742
0.121458,750
0.121376,758
0.121294,766
0.121212,774
0.121212,782
0.121294,790
0.121376,798
0.121458,806
0.12154,814
0.121622,822
0.121622,830
0.12154,839
0.121458,847
0.121376,855
0.121376,863
0.121376,871
0.121458,879
0.12154,887
0.121622,895
0.121622,903
0.12154,912
0.121458,920
0.121458,928
0.121623,936
0.121872,944
0.122203,952
0.122534,960
0.122867,968
0.122951,977
0.122951,985
0.123035,993
0.123128,1001
0.123138,1009
0.123231,1017
0.123324,1025
0.123333,1033
0.123416,1041
0.123498,1049
0.123581,1057
0.123581,1066
0.123581,1074
0.123498,1082
0.123416,1090
0.123333,1098
0.123333,1106
0.123333,1114
0.123333,1122
0.123333,1130
0.123416,1138
0.123498,1146
0.123581,1154
0.123581,1163
0.123581,1171
0.123498,1179
0.123416,1187
0.123333,1195
0.123333,1203
0.123416,1211
0.123498,1219
0.123581,1227
0.123663,1235
0.123746,1243
0.123746,1251
0.123746,1259
0.123663,1268
0.123663,1276
0.123663,1284
0.123663,1292
0.123663,1300
0.123746,1308
0.123746,1316
0.123746,1324
0.123746,1332
0.123663,1341
0.123581,1349
0.123498,1357
0.123498,1365
0.123498,1373
0.123581,1381
0.123663,1389
0.123746,1397
0.123746,1405
0.123746,1413
0.123746,1421
0.123663,1430
0.123581,1438
0.123498,1446
0.123416,1454
0.123416,1462
0.123498,1470
0.123581,1478
0.123663,1486
0.123746,1494
0.123746,1502
0.123663,1511
0.123581,1519
0.123498,1527
0.123416,1535
0.123333,1543
0.123333,1551
0.123333,1559
0.123416,1567
0.123498,1575
0.123581,1583
0.123581,1592
0.123581,1600
0.123498,1608
0.123416,1616
0.123333,1624
0.123333,1632
0.123416,1640
0.123498,1648
0.123581,1656
0.123663,1664
0.123663,1673
0.123581,1681
0.123498,1689
0.123416,1697
0.123333,1705
0.123333,1713
0.123333,1721
0.123416,1729
0.123498,1737
0.123581,1745
0.123663,1753
0.123746,1761
0.123663,1770
0.123581,1778
0.123498,1786
0.123416,1794
0.123324,1803
0.123324,1811
0.123324,1819
0.123324,1827
0.123324,1835
0.123333,1843
0.123333,1851
0.123333,1859
0.123333,1867
