throughput,time,numworkers,streamsize
0.43782,21,4,500
0.451153,23,4,500
0.459557,25,4,500
0.465405,27,4,500
0.469734,29,4,500
0.473078,31,4,500
0.475745,33,4,500
0.477923,35,4,500
0.47652,38,4,500
0.475032,40,4,500
0.473497,42,4,500
0.471942,44,4,500
0.470382,46,4,500
0.472049,48,4,500
0.473537,50,4,500
0.474874,52,4,500
0.476082,54,4,500
0.477178,56,4,500
0.478178,58,4,500
0.479094,60,4,500
0.479936,62,4,500
0.480712,64,4,500
0.479794,67,4,500
0.478876,69,4,500
0.47796,71,4,500
0.477049,73,4,500
0.476142,75,4,500
0.476879,77,4,500
0.477572,79,4,500
0.478224,81,4,500
0.47884,83,4,500
0.479421,85,4,500
0.479971,87,4,500
0.480493,89,4,500
0.480988,91,4,500
0.481459,93,4,500
0.48081,96,4,500
0.480163,98,4,500
0.479518,100,4,500
0.478878,102,4,500
0.47824,104,4,500
0.478704,106,4,500
0.479149,108,4,500
0.479575,110,4,500
0.479984,112,4,500
0.480377,114,4,500
0.480755,116,4,500
0.481119,118,4,500
0.481469,120,4,500
0.481806,122,4,500
0.481306,125,4,500
0.480808,127,4,500
0.480312,129,4,500
0.479819,131,4,500
0.479328,133,4,500
0.479664,135,4,500
0.47999,137,4,500
0.480305,139,4,500
0.480611,141,4,500
0.480907,143,4,500
0.481194,145,4,500
0.481473,147,4,500
0.481744,149,4,500
0.482007,151,4,500
0.481601,154,4,500
0.481197,156,4,500
0.480794,158,4,500
0.480392,160,4,500
0.479993,162,4,500
0.480256,164,4,500
0.480513,166,4,500
0.480763,168,4,500
0.481007,170,4,500
0.481244,172,4,500
0.481476,174,4,500
0.481702,176,4,500
0.481922,178,4,500
0.482138,180,4,500
0.481796,183,4,500
0.481456,185,4,500
0.481117,187,4,500
0.480779,189,4,500
0.480442,191,4,500
0.480658,193,4,500
0.48087,195,4,500
0.481077,197,4,500
0.481279,199,4,500
0.481477,201,4,500
0.481671,203,4,500
0.481861,205,4,500
0.482048,207,4,500
0.479432,215,4,500
0.474222,223,4,500
0.466601,231,4,500
0.448586,263,4,500
0.422486,295,4,500
0.390767,327,4,500
0.351778,359,4,500
0.305655,391,4,500
0.26011,423,4,500
0.213138,455,4,500
0.165138,487,4,500
0.119721,519,4,500
0.083304,551,4,500
0.0566681,583,4,500
0.0395068,615,4,500
0.0317568,647,4,500
0.03125,679,4,500
0.03125,711,4,500
0.0319204,712,4,500
0.0332829,712,4,500
0.0353374,712,4,500
0.0374207,743,4,500
0.0401672,744,4,500
0.0429354,744,4,500
0.0457036,744,4,500
0.0478157,775,4,500
0.0505551,776,4,500
0.0533232,776,4,500
0.0560914,776,4,500
0.0582108,807,4,500
0.0609429,808,4,500
0.0637111,808,4,500
0.0664792,808,4,500
0.0686058,839,4,500
0.0713307,840,4,500
0.0740989,840,4,500
0.0768671,840,4,500
0.0790009,871,4,500
0.0817186,872,4,500
0.0844867,872,4,500
0.0872549,872,4,500
0.0893959,903,4,500
0.0921064,904,4,500
0.0948746,904,4,500
0.0976427,904,4,500
0.0997909,935,4,500
0.102494,936,4,500
0.105262,936,4,500
0.108031,936,4,500
0.110186,967,4,500
0.112882,968,4,500
0.11565,968,4,500
0.118418,968,4,500
0.120581,999,4,500
0.12327,1000,4,500
0.126038,1000,4,500
0.128806,1000,4,500
0.128893,1031,4,500
0.129498,1032,4,500
0.13019,1032,4,500
0.130882,1032,4,500
0.128806,1064,4,500
0.129412,1064,4,500
0.130104,1064,4,500
0.130796,1064,4,500
0.12872,1096,4,500
0.129412,1096,4,500
0.130104,1096,4,500
0.130796,1096,4,500
0.12872,1128,4,500
0.129412,1128,4,500
0.130104,1128,4,500
0.130796,1128,4,500
0.12872,1160,4,500
0.129412,1160,4,500
0.130104,1160,4,500
0.130796,1160,4,500
0.12872,1192,4,500
0.129412,1192,4,500
0.130104,1192,4,500
0.130796,1192,4,500
0.12872,1224,4,500
0.129412,1224,4,500
0.130104,1224,4,500
0.130796,1224,4,500
0.12872,1256,4,500
0.129412,1256,4,500
0.130104,1256,4,500
0.130796,1256,4,500
0.12872,1288,4,500
0.129412,1288,4,500
0.130104,1288,4,500
0.130796,1288,4,500
0.12872,1320,4,500
0.129412,1320,4,500
0.130104,1320,4,500
0.130796,1320,4,500
0.128806,1352,4,500
0.129587,1352,4,500
0.130371,1352,4,500
0.131156,1352,4,500
0.129881,1376,4,500
0.13131,1376,4,500
0.132004,1384,4,500
0.132698,1384,4,500
0.132086,1400,4,500
0.133577,1400,4,500
0.134292,1408,4,500
0.13576,1408,4,500
0.135703,1424,4,500
0.136936,1424,4,500
0.137671,1432,4,500
0.139205,1432,4,500
0.139125,1448,4,500
0.14057,1448,4,500
0.141246,1456,4,500
0.142359,1456,4,500
0.142254,1472,4,500
0.143762,1472,4,500
0.144456,1480,4,500
0.145939,1480,4,500
0.146297,1496,4,500
0.147872,1496,4,500
0.148587,1504,4,500
0.150134,1504,4,500
0.150003,1520,4,500
0.150996,1520,4,500
0.151732,1528,4,500
0.153349,1528,4,500
0.153191,1544,4,500
0.154711,1544,4,500
0.155387,1552,4,500
0.156261,1552,4,500
0.156072,1568,4,500
0.157659,1568,4,500
0.158354,1576,4,500
0.159912,1576,4,500
0.160508,1592,4,500
0.162167,1592,4,500
0.162882,1600,4,500
0.164509,1600,4,500
0.164302,1616,4,500
0.165057,1616,4,500
0.165793,1624,4,500
0.167494,1624,4,500
0.167256,1640,4,500
0.168852,1640,4,500
0.169527,1648,4,500
0.170163,1648,4,500
0.168938,1664,4,500
0.169632,1664,4,500
0.169388,1672,4,500
0.170064,1672,4,500
0.168938,1688,4,500
0.169632,1688,4,500
0.169388,1696,4,500
0.170064,1696,4,500
0.168938,1712,4,500
0.168712,1720,4,500
0.168468,1720,4,500
0.167324,1736,4,500
0.165297,1744,4,500
0.165071,1744,4,500
0.163908,1760,4,500
0.161881,1768,4,500
0.161674,1768,4,500
0.160492,1784,4,500
0.158465,1792,4,500
0.158277,1792,4,500
0.157076,1808,4,500
0.155049,1816,4,500
0.15488,1816,4,500
0.15366,1832,4,500
0.151633,1840,4,500
0.151483,1840,4,500
0.150244,1856,4,500
0.148217,1864,4,500
0.148086,1864,4,500
0.146828,1880,4,500
0.144801,1888,4,500
0.144688,1888,4,500
0.143412,1904,4,500
0.141385,1912,4,500
0.141291,1912,4,500
0.139996,1928,4,500
0.137969,1936,4,500
0.137894,1936,4,500
0.13658,1952,4,500
0.134553,1960,4,500
0.134497,1960,4,500
0.133164,1976,4,500
0.131137,1984,4,500
0.1311,1984,4,500
0.129748,2000,4,500
0.127721,2008,4,500
0.127703,2008,4,500
0.127027,2024,4,500
0.125676,2032,4,500
0.126351,2032,4,500
0.126351,2048,4,500
0.125676,2056,4,500
0.126351,2056,4,500
0.127027,2064,4,500
0.127703,2064,4,500
0.129092,2072,4,500
0.131175,2072,4,500
0.133277,2072,4,500
