throughput,time
0.111111,25
0.117647,33
0.111111,43
0.114286,51
0.113636,60
0.113208,69
0.112903,78
0.114286,86
0.113924,95
0.113636,104
0.113402,113
0.114286,121
0.112069,132
0.112,141
0.112782,149
0.111888,159
0.112583,167
0.1125,176
0.112426,185
0.112994,193
0.112903,202
0.112821,211
0.1133,219
0.113744,227
0.114155,235
0.114537,243
0.114894,251
0.115226,259
0.115538,267
0.11583,275
0.116105,283
0.116364,291
0.116608,299
0.116838,307
0.116667,316
0.117057,324
0.117057,332
0.117845,340
0.117845,348
0.118243,356
0.118644,364
0.119048,372
0.119048,380
0.119454,388
0.119863,396
0.12,404
0.120401,412
0.120401,420
0.121622,428
0.122034,436
0.122034,444
0.122449,453
0.122449,461
0.122867,469
0.122867,478
0.122449,487
0.120805,500
0.120401,510
0.121212,516
0.120401,526
0.119454,536
0.119048,545
0.119048,553
0.118243,563
0.11745,573
0.117057,582
0.115646,593
0.114094,605
0.114478,613
0.113712,623
0.113333,632
0.113333,640
0.113333,648
0.112628,657
0.112628,665
0.112628,673
0.112628,681
0.112628,689
0.112628,697
0.112628,705
0.112628,713
0.112628,721
0.112628,729
0.112245,738
0.112628,746
0.112628,754
0.112628,762
0.109589,779
0.111864,782
0.111864,795
0.114865,796
0.111486,812
0.112628,819
0.113402,827
0.113712,835
0.114094,843
0.114094,851
0.112245,867
0.112245,876
0.113793,883
0.111864,900
0.114865,901
0.10473,936
0.108108,936
0.105085,952
0.108475,952
0.0989761,982
0.101351,985
0.0973154,1003
0.100671,1003
0.104027,1003
0.107023,1004
0.0986395,1032
0.102041,1032
0.105442,1032
0.108844,1032
0.111111,1035
0.114478,1035
0.11745,1036
0.118243,1042
0.114865,1058
0.11745,1060
0.119863,1071
0.116041,1088
0.119454,1088
0.121622,1091
0.121951,1099
0.12,1112
0.113333,1135
0.116667,1135
0.12,1135
0.121622,1139
0.121622,1147
0.124138,1157
0.124161,1165
0.125,1172
0.125,1179
0.12585,1194
0.133829,1205
0.134545,1211
0.130137,1228
0.133562,1228
0.130137,1244
0.132203,1247
0.136691,1260
0.13879,1263
0.136054,1276
0.138047,1279
0.138408,1292
0.140411,1295
0.136201,1311
0.137324,1316
0.135593,1327
0.136667,1332
0.119298,1343
0.12069,1348
0.117057,1359
0.117845,1368
0.121951,1375
0.121622,1384
0.116667,1391
0.113712,1411
0.117057,1411
0.123239,1419
0.125,1423
0.123333,1435
0.116667,1439
0.115646,1451
0.11745,1455
0.115254,1467
0.117057,1471
0.117647,1483
0.119454,1487
0.119048,1499
0.120805,1503
0.121951,1515
0.123711,1519
0.121951,1531
0.123711,1535
0.12,1547
0.123711,1551
0.12,1563
0.123711,1567
0.12,1579
0.123711,1583
0.12,1595
0.125,1599
0.123333,1611
0.123746,1615
0.123333,1627
0.123746,1631
0.123333,1643
0.123746,1647
0.123333,1659
0.125424,1663
0.123333,1675
0.125424,1679
0.123333,1691
0.130282,1695
0.128378,1707
0.13,1711
0.123333,1723
0.126712,1727
0.123333,1739
0.126712,1743
0.123333,1755
0.126712,1759
0.123333,1771
0.126712,1775
0.123333,1787
0.126712,1791
0.123333,1803
0.126712,1807
0.123333,1819
0.126712,1823
0.123333,1835
0.126712,1839
0.123333,1851
0.126712,1855
0.123333,1867
0.126712,1871
0.123333,1883
0.126712,1887
0.123333,1899
0.126712,1903
0.123333,1915
0.126712,1919
0.123333,1931
0.126712,1935
0.123333,1947
0.126712,1951
0.123333,1963
0.126712,1967
0.123333,1979
0.126712,1983
0.123333,1995
0.126712,1999
0.123333,2011
0.126712,2015
0.123333,2027
0.126712,2031
0.123333,2043
0.126712,2047
0.123333,2059
0.126712,2063
0.123333,2075
0.126712,2079
0.123333,2091
0.126712,2095
0.123333,2107
0.126712,2111
0.123333,2123
0.126712,2127
0.123333,2139
0.126712,2143
0.123333,2155
0.126712,2159
0.129252,2161
0.130872,2165
0.13,2171
0.133562,2175
0.136054,2177
0.137124,2182
0.136667,2187
0.140411,2191
0.142857,2193
0.143813,2198
0.143333,2203
0.14726,2207
0.147157,2214
0.146667,2219
0.15,2219
0.15411,2223
0.153846,2230
0.153333,2235
0.156667,2235
0.160959,2239
0.160535,2246
0.16,2251
0.163333,2251
0.167808,2255
0.167224,2262
0.166667,2267
0.17,2267
0.174658,2271
0.173913,2278
0.173333,2283
0.176667,2283
0.181507,2287
0.180602,2294
0.18,2299
0.183333,2299
0.188356,2303
0.1843,2320
0.187713,2320
0.191126,2320
0.194539,2320
0.19398,2326
0.193333,2331
0.196667,2331
0.20068,2337
0.199313,2350
0.202749,2350
0.206186,2350
0.208191,2352
0.207358,2358
0.206667,2363
0.21,2363
0.215017,2368
0.214047,2374
0.213333,2379
0.216667,2379
0.221843,2384
0.220736,2390
0.22,2395
0.223333,2395
0.228669,2400
0.227425,2406
0.226667,2411
0.23,2411
0.235495,2416
0.234114,2422
0.233333,2427
0.236667,2427
0.242321,2432
0.240803,2438
0.24,2443
0.243333,2443
0.249147,2448
0.247492,2454
0.246667,2459
0.25,2459
0.247492,2464
0.247492,2470
0.246667,2475
0.25,2475
0.248322,2480
0.247492,2486
0.246667,2491
0.25,2491
0.248322,2496
0.247492,2502
0.246667,2507
0.25,2507
0.251678,2512
0.250836,2518
0.246667,2523
0.25,2523
0.251678,2528
0.250836,2534
0.246667,2539
0.248322,2544
0.247492,2550
0.25,2551
0.246667,2555
0.248322,2560
0.246667,2567
0.243333,2571
0.244966,2576
0.245791,2580
0.246667,2583
0.243333,2587
0.244966,2592
0.245791,2596
0.246667,2599
0.243333,2603
0.253472,2608
0.253425,2612
0.253378,2616
0.254181,2619
0.244966,2624
0.245791,2628
0.244068,2632
0.244966,2635
0.251724,2640
0.248322,2648
0.240803,2651
0.241611,2656
0.244966,2656
0.239865,2664
0.239865,2670
0.241611,2672
0.236486,2680
0.239865,2680
0.239865,2686
0.241611,2688
0.236486,2696
0.239865,2696
0.239865,2702
0.241611,2704
0.236486,2712
0.239865,2712
0.239865,2718
0.241611,2720
0.236486,2728
0.239865,2728
0.239865,2734
0.241611,2736
0.236486,2744
0.239057,2745
0.239865,2750
0.241611,2752
0.236486,2760
0.239057,2761
0.239865,2766
0.241611,2768
0.236486,2776
0.239057,2777
0.239865,2782
0.233108,2792
0.236486,2792
0.239057,2793
0.239865,2798
0.233108,2808
0.236486,2808
0.239057,2809
0.239865,2814
0.233108,2824
0.236486,2824
0.239057,2825
0.239865,2830
0.236486,2840
0.239865,2840
0.242424,2841
0.243243,2846
0.236486,2856
0.239865,2856
0.242424,2857
0.244068,2862
0.239865,2872
0.243243,2872
0.245791,2873
0.244966,2878
0.239865,2888
0.242424,2889
0.240803,2895
0.239057,2900
0.239865,2904
0.242424,2905
0.240803,2911
0.236486,2920
0.239057,2921
0.237458,2927
0.236667,2932
0.236486,2936
0.239057,2937
0.240678,2943
0.230508,2959
0.233898,2959
0.237288,2959
0.240678,2959
0.24,2964
0.241611,2968
0.244147,2969
0.23,2988
0.233333,2988
0.236667,2988
0.24,2988
0.244068,2991
0.243333,2996
0.241611,3000
0.244147,3001
0.244068,3007
0.243333,3012
0.241611,3016
0.244147,3017
0.244068,3023
0.243333,3028
0.241611,3032
0.244147,3033
0.244068,3039
0.243333,3044
0.241611,3048
0.244147,3049
0.244068,3055
0.243333,3060
0.240803,3065
0.24,3068
0.244068,3071
0.243333,3076
0.243151,3084
0.244068,3087
0.245791,3089
0.246667,3092
0.240678,3103
0.24,3108
0.23569,3111
0.239057,3111
0.240678,3119
0.24,3124
0.234899,3128
0.237288,3135
0.236667,3140
0.232323,3143
0.233898,3151
0.224832,3160
0.228188,3160
0.231544,3160
0.233108,3168
