throughput,time,numworkers,streamsize
0,241,4,500
0.01,294,4,500
0.02,328,4,500
0.02,367,4,500
0.02,401,4,500
0.02,438,4,500
0.02,470,4,500
0.02,503,4,500
0.02,541,4,500
0.01,606,4,500
0.02,606,4,500
0.03,638,4,500
0.03,671,4,500
0.02,708,4,500
0.01,773,4,500
0.02,773,4,500
0.03,806,4,500
0.03,838,4,500
0.04,871,4,500
0.03,903,4,500
0.03,935,4,500
0.01,1005,4,500
0.02,1005,4,500
0.02,1038,4,500
0.03,1070,4,500
0.02,1108,4,500
0.02,1140,4,500
0.02,1173,4,500
0.03,1205,4,500
0.02,1243,4,500
0.02,1275,4,500
0.02,1308,4,500
0.02,1345,4,500
0.02,1378,4,500
0.02,1416,4,500
0.01,1480,4,500
0.02,1480,4,500
0.03,1513,4,500
0.03,1545,4,500
0.04,1578,4,500
0.01,1648,4,500
0.02,1648,4,500
0.02,1712,4,500
0.03,1713,4,500
0.02,1777,4,500
0.03,1777,4,500
0.02,1842,4,500
0.03,1842,4,500
0.04,1875,4,500
0.03,1907,4,500
0.01,1976,4,500
0.02,1977,4,500
0.02,2014,4,500
0.03,2047,4,500
0.01,2116,4,500
0.02,2116,4,500
0.02,2181,4,500
0.03,2181,4,500
0.04,2214,4,500
0.03,2246,4,500
0.04,2279,4,500
0.03,2311,4,500
0.03,2343,4,500
0.02,2385,4,500
0.02,2417,4,500
0.01,2487,4,500
0.02,2487,4,500
0.02,2520,4,500
0.03,2552,4,500
0.02,2590,4,500
0.02,2622,4,500
0.02,2655,4,500
0.02,2692,4,500
0.02,2725,4,500
0.02,2763,4,500
0.02,2795,4,500
0.02,2827,4,500
0.03,2860,4,500
0.02,2924,4,500
0.03,2924,4,500
0.03,2957,4,500
0.03,2989,4,500
0.02,3054,4,500
0.03,3054,4,500
0.03,3087,4,500
0.03,3151,4,500
0.04,3151,4,500
0.03,3184,4,500
0.03,3216,4,500
0.04,3249,4,500
0.02,3286,4,500
0.02,3319,4,500
0.02,3356,4,500
0.02,3394,4,500
0.01,3486,4,500
0.02,3486,4,500
0.03,3488,4,500
0.03,3521,4,500
0.04,3585,4,500
0.05,3585,4,500
0.03,3618,4,500
0.03,3650,4,500
0.04,3683,4,500
0.03,3715,4,500
0.03,3747,4,500
0.03,3780,4,500
0.03,3812,4,500
0.03,3844,4,500
